cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,label
0.712,2.885,1.123,0.434,0.552,0.544,0.347,0.041,0.057,0.081,0.033,0.027,1
0.312,2.668,1.139,0.349,0.746,0.446,0.254,0.015,0.034,0.046,0.012,0.007,1
0.1,2.941,0.796,0.216,0.894,0.362,0.106,0.008,0.014,0.023,0.005,0.004,1
0.469,2.879,1.173,0.346,0.724,0.427,0.276,0.017,0.031,0.042,0.014,0.012,1
0.121,2.725,0.793,0.197,0.887,0.376,0.114,0.005,0.01,0.02,0.003,0.002,1
0.862,2.941,1.119,0.51,0.588,0.638,0.412,0.037,0.062,0.089,0.03,0.024,1
0.126,2.937,0.865,0.208,0.864,0.336,0.136,0.009,0.014,0.023,0.006,0.005,1
-0.154,2.318,1.134,0.206,0.859,0.29,0.141,0.004,0.006,0.013,0.002,0,1
0.023,2.707,0.805,0.144,0.916,0.293,0.085,0.004,0.006,0.013,0.003,0.002,1
0.943,2.727,1.191,0.551,0.537,0.651,0.463,0.037,0.067,0.086,0.027,0.022,1
0.152,2.798,0.849,0.218,0.856,0.372,0.144,0.006,0.012,0.021,0.004,0.003,1
-0.235,2.418,0.873,0.126,0.945,0.238,0.055,0.002,0.005,0.01,0.001,0,1
0.29,2.716,0.999,0.271,0.814,0.384,0.186,0.008,0.014,0.023,0.007,0.006,1
0.15,2.615,1.158,0.286,0.783,0.367,0.217,0.008,0.021,0.032,0.004,0.004,1
0.202,2.941,1.023,0.237,0.818,0.389,0.183,0.008,0.018,0.027,0.006,0.004,1
0.445,2.136,1.105,0.427,0.662,0.513,0.338,0.03,0.056,0.073,0.021,0.021,1
0.81,2.755,1.281,0.521,0.571,0.603,0.429,0.035,0.062,0.089,0.028,0.023,1
0.012,2.835,0.874,0.151,0.88,0.31,0.12,0.005,0.009,0.016,0.003,0.003,1
0.07,2.634,0.836,0.192,0.866,0.317,0.134,0.004,0.008,0.013,0.003,0.002,1
0.623,2.78,1.142,0.414,0.668,0.534,0.332,0.02,0.044,0.058,0.015,0.012,1
0.507,2.894,1.32,0.359,0.699,0.452,0.301,0.022,0.044,0.05,0.016,0.01,1
0.134,2.941,0.893,0.191,0.88,0.357,0.12,0.008,0.018,0.03,0.007,0.005,1
0.488,2.809,1.015,0.383,0.72,0.516,0.281,0.027,0.038,0.058,0.02,0.016,1
0.302,2.029,1.013,0.345,0.751,0.437,0.249,0.013,0.028,0.043,0.011,0.009,1
0.153,2.861,1.009,0.231,0.837,0.358,0.163,0.011,0.017,0.028,0.007,0.006,1
-0.058,2.827,0.879,0.157,0.901,0.313,0.101,0.003,0.007,0.014,0.002,0.001,1
0.931,2.661,1.285,0.604,0.466,0.687,0.534,0.03,0.073,0.101,0.026,0.02,1
0.051,2.739,0.859,0.181,0.893,0.337,0.107,0.004,0.01,0.017,0.003,0.002,1
0.065,2.84,0.765,0.182,0.894,0.367,0.106,0.006,0.01,0.02,0.003,0.002,1
0.094,2.941,0.8,0.164,0.898,0.351,0.102,0.005,0.01,0.017,0.004,0.003,1
0.865,1.76,0.962,0.644,0.401,0.73,0.599,0.059,0.086,0.134,0.053,0.047,1
1.096,2.615,1.112,0.628,0.463,0.706,0.541,0.022,0.061,0.091,0.022,0.022,1
0.076,2.941,0.906,0.214,0.87,0.388,0.13,0.007,0.015,0.028,0.005,0.003,1
0.684,2.49,0.98,0.464,0.692,0.597,0.308,0.028,0.043,0.076,0.019,0.009,1
0.046,2.614,0.81,0.153,0.883,0.336,0.117,0.004,0.009,0.02,0.002,0.001,1
0,0.425,0.549,0,0.026,0.015,0,0.001,0.001,0.001,0,0,1
-0.02,1.653,0.682,0.146,0.92,0.228,0.08,0.002,0.005,0.01,0.001,0.001,1
0.802,2.552,1.383,0.596,0.541,0.651,0.459,0.01,0.038,0.075,0.01,0.007,1
0.864,2.941,0.933,0.485,0.563,0.729,0.437,0.055,0.081,0.116,0.043,0.031,1
-0.099,2.68,0.919,0.148,0.887,0.22,0.113,0.002,0.005,0.008,0.002,0.001,1
0.14,2.53,1.105,0.271,0.795,0.374,0.205,0.011,0.019,0.031,0.008,0.007,1
0.978,2.231,0.977,0.631,0.458,0.729,0.543,0.036,0.073,0.103,0.03,0.024,1
0.996,2.447,1.084,0.556,0.494,0.67,0.506,0.028,0.06,0.082,0.028,0.022,1
-0.092,2.38,1.022,0.175,0.865,0.252,0.135,0.004,0.01,0.012,0.003,0.002,1
0.71,2.553,1.218,0.475,0.601,0.578,0.399,0.031,0.054,0.072,0.025,0.021,1
0.004,2.646,0.73,0.097,0.723,0.218,0.055,0.004,0.008,0.015,0.003,0.002,1
0.615,2.854,1.563,0.444,0.61,0.532,0.393,0.039,0.057,0.072,0.027,0.024,1
0.079,2.865,0.771,0.05,0.249,0.086,0.029,0.001,0.002,0.004,0.001,0,1
0.039,2.603,0.985,0.19,0.853,0.333,0.147,0.008,0.013,0.019,0.006,0.004,1
0.004,1.751,0.947,0.247,0.766,0.343,0.234,0.014,0.024,0.033,0.01,0.007,1
0.304,2.552,1.059,0.314,0.768,0.459,0.233,0.011,0.028,0.038,0.007,0.004,1
-0.051,2.51,0.822,0.117,0.925,0.249,0.076,0.007,0.011,0.019,0.005,0.003,1
0.655,2.693,1.515,0.551,0.528,0.588,0.472,0.034,0.056,0.082,0.026,0.022,1
0.953,2.391,1.379,0.645,0.406,0.73,0.594,0.051,0.082,0.112,0.041,0.033,1
0.212,2.941,1.186,0.273,0.797,0.373,0.204,0.012,0.021,0.03,0.01,0.008,1
0.035,2.636,0.794,0.217,0.871,0.313,0.129,0.003,0.005,0.013,0.001,0.001,1
0.722,2.595,1.075,0.507,0.601,0.625,0.402,0.051,0.072,0.098,0.04,0.031,1
0.044,2.793,0.776,0.133,0.914,0.251,0.086,0.003,0.008,0.013,0.002,0.001,1
0.151,2.756,0.72,0.159,0.926,0.488,0.074,0.022,0.033,0.051,0.014,0.01,1
