alu1,alu2,alu3,alu4,alu5,class
0.000087,0.000087,129,0.011228,0.023499,1
0.000332,0.000111,225,0.012436,0,1
0,0,2076,0.222437,0,1
0.00017,0.000212,3150,0.133826,0.00051,1
0,0,153,0.183894,0,1
0,0.000186,285,0.053132,0,1
0,0,132,0.046858,0.021647,1
0.000273,0.000091,345,0.031401,0.018475,1
0.000341,0.001022,72,0.024523,0.021791,1
0,0,24,0.004937,0,1
0,0,90,0.055659,0.019159,1
0,0,888,0.194993,0,1
0.000416,0,444,0.092346,0.032023,1
0,0,153,0.75,0,1
0,0,309,0.415882,0.040323,1
0.000079,0.000179,291,0.005773,0.000079,1
0.000334,0.00032,48,0.000667,0.016741,1
0,0,102,0.128951,0.02399,1
0.000284,0.000284,150,0.042638,0,1
0,0,411,0.96934,0.002353,1
0.000171,0.000382,429,0.005654,0.000026,1
0,0,87,0.024027,0,1
0,0,165,0.816832,0.049261,1
0,0.000322,342,0.055099,0.019974,1
0,0,267,0.878289,0.045902,1
0.000248,0.000282,237,0.003925,0.000017,1
0.000169,0,123,0.010367,0.000927,1
0.000205,0,189,0.038825,0.028343,1
0,0,372,0.186,0.018491,1
0.000218,0.000178,156,0.003088,0.023775,1
0,0.000292,474,0.138394,0.031524,1
0,0.000206,171,0.0352,0,1
0.000606,0,153,0.030922,0,1
0,0.000278,258,0.071846,0,1
0.000456,0.000456,411,0.046891,0,1
0.000062,0.000187,966,0.060341,0,1
0,0,201,0.093575,0,1
0,0,339,0.149867,0.060539,1
0,0,72,0.171429,0.019002,1
0.000371,0.000186,237,0.044019,0.02507,1
0.000542,0,195,0.052889,0.017354,1
0,0,84,0.103448,0,1
0.000418,0.000837,117,0.004895,0.020289,1
0,0.000428,279,0.119537,0.020557,1
0.000201,0,126,0.012694,0.020248,1
0,0,90,0.012701,0.022577,1
0.000541,0.000135,681,0.092177,0,1
0.000411,0,138,0.056697,0,1
0.000401,0.001603,198,0.079327,0,1
0.000701,0.000175,222,0.038879,0.019436,1
0,0,1074,0.215966,0,1
0,0,237,0.881041,0,1
0,0,60,0.1222,0.069106,1
0,0,510,0.643127,0,1
0,0,258,0.178423,0,1
0,0.000037,144,0.005372,0.006005,1
0.000219,0.000462,105,0.002554,0.022673,1
0.000126,0.000628,276,0.034686,0,1
0.00021,0.000314,225,0.023575,0,1
0,0,141,0.503571,0.039146,1
0.000254,0.000152,111,0.005641,0,1
0,0.003215,33,0.106109,0.003205,1
0,0,75,0.005547,0.023072,1
0.000285,0.000664,138,0.013089,0,1
